stud,lines,functions,variables,conditionals,nestinglevels,assignments,branches,comparisons
s118,4,4,6,8,6,4,0,6
s119,10,10,1,5,4,2,0,5
s120,20,20,13,18,14,6,1,9
s121,2,2,6,7,13,6,1,5
s122,10,10,17,7,10,7,0,4
s123,14,14,3,3,8,6,0,6
s124,25,25,5,13,9,6,0,7
s125,8,8,15,2,5,2,0,7
s126,4,4,23,1,5,4,2,7
s127,14,14,14,4,11,5,0,6
s128,7,7,11,11,3,3,2,4
s129,8,8,1,8,19,5,0,4
s130,8,8,4,9,8,3,1,5
s131,14,14,12,3,7,4,0,6
s132,16,16,15,6,10,4,0,6
s133,1,1,8,11,2,4,0,6
s134,7,7,3,14,11,6,1,7
s135,4,4,9,3,7,8,0,7
s136,10,10,19,23,13,8,2,8
s137,10,10,2,12,17,5,1,6
s138,10,10,6,15,19,5,1,9
s139,6,6,13,11,3,5,0,6
s140,5,5,3,7,3,4,2,3
s141,8,8,12,23,24,7,0,7
s142,14,14,15,10,12,3,0,6
s143,6,6,6,10,1,4,0,6
s144,2,2,10,17,9,4,0,8
s145,14,14,7,18,14,3,2,5
s146,3,3,12,1,2,4,0,6
s147,5,5,16,23,22,7,0,10
s148,1,1,11,11,18,7,1,10
s149,1,1,10,12,3,5,4,2
s150,17,17,2,4,2,7,0,6
s151,6,6,12,1,17,5,0,7
s152,20,20,9,18,1,4,1,6
s153,6,6,10,6,6,3,0,5
s154,9,9,17,20,22,5,3,8
s155,11,11,12,3,3,4,0,6
s156,21,21,24,10,23,9,3,6
s157,21,21,8,10,2,11,0,8
s158,11,11,2,10,11,3,0,4
s159,13,13,20,2,11,4,0,6
s160,13,13,4,6,17,4,0,6
s161,17,17,1,23,10,3,2,6
s162,20,20,2,8,2,6,0,6
s163,23,23,17,14,24,11,0,8
s164,5,5,4,5,22,7,0,7
s165,1,1,14,13,16,6,0,7
s166,1,1,8,12,12,6,0,7
s167,9,9,3,11,13,7,0,7
s168,10,10,16,4,13,6,0,6
s169,12,12,7,12,4,8,0,5
s170,10,10,15,2,1,2,0,6
s171,12,12,20,2,4,4,0,6
s172,15,15,1,11,11,4,0,6
s173,16,16,13,4,8,4,0,7
s174,17,17,11,10,3,5,1,6
s175,6,6,7,3,5,4,0,6
s176,14,14,2,15,19,5,0,6
s177,2,2,3,7,7,3,0,5
s178,2,2,12,4,15,4,0,4
s179,16,16,1,21,10,4,0,6
s180,16,16,15,6,14,6,1,6
s181,12,12,9,11,5,5,1,6
s182,21,21,24,8,25,10,0,12
s183,6,6,14,10,2,7,1,7
s184,2,2,12,8,5,4,0,6
s185,12,12,17,11,12,9,2,5
s186,9,9,10,7,10,4,0,6
s187,3,3,1,11,11,4,0,5
s188,6,6,15,5,7,7,0,8
s189,11,11,15,3,3,5,1,6
s190,10,10,16,8,2,4,3,5
s191,5,5,7,2,6,3,0,3
s192,20,20,3,20,21,6,1,6
s193,5,5,3,7,7,4,0,6
s194,11,11,14,9,7,6,0,5
s195,5,5,14,1,4,4,0,6
s196,6,6,9,13,12,6,1,7
s197,12,12,4,10,3,4,0,6
s198,11,11,8,5,9,2,0,6
s199,18,18,15,8,10,4,0,7
s200,8,8,11,5,8,3,2,4
s201,8,8,3,19,4,4,0,7
s202,4,4,6,4,9,7,0,7
s203,1,1,2,5,14,6,0,7
s204,9,9,5,7,9,3,1,5
s205,11,11,10,7,14,11,0,7
s206,6,6,15,21,17,6,0,10
s207,1,1,7,1,15,4,0,6
s208,18,18,14,12,13,4,0,6
s209,3,3,3,2,6,4,0,7
s210,1,1,1,6,14,5,1,6
s211,6,6,4,17,6,6,0,7
s212,14,14,8,20,2,4,0,6
s213,7,7,3,14,11,6,0,7
s214,11,11,1,4,7,4,1,2
s215,1,1,7,5,14,4,0,6
s216,7,7,4,16,10,6,0,9
s217,8,8,9,4,11,6,0,6
s218,17,17,14,11,14,5,1,6
s219,9,9,16,4,5,5,0,6
s220,2,2,18,10,19,4,0,6
s221,3,3,10,10,9,6,0,10
s222,1,1,7,7,15,5,0,7
s223,9,9,16,15,13,4,0,6
s224,11,11,18,20,21,7,0,6
s225,2,2,10,2,6,3,0,9
s226,6,6,15,13,15,4,0,6
s227,5,5,3,14,13,4,0,6
s228,1,1,20,13,5,7,0,8
s229,1,1,5,20,9,5,0,7
s230,3,3,10,13,2,3,1,5
s231,11,11,20,18,13,5,1,6
s232,13,13,3,23,13,5,0,7
s233,3,3,4,6,1,4,0,6
s234,16,16,2,24,11,8,0,5
s235,9,9,8,2,13,6,0,7
s236,9,9,20,14,15,6,0,7
s237,1,1,11,12,4,4,2,3
s238,16,16,11,17,15,4,0,8
s239,12,12,24,18,10,6,0,10
s240,10,10,7,4,6,4,0,6
s241,2,2,6,2,6,4,0,6
s242,14,14,9,6,2,9,0,8
s243,2,2,1,3,3,4,0,6
s244,4,4,10,11,4,4,0,6
s245,11,11,23,10,12,5,0,6
s246,4,4,11,13,7,2,0,6
s247,13,13,9,3,10,4,1,7
s248,6,6,11,2,4,4,3,2
s249,5,5,8,24,20,6,0,7
s250,14,14,9,18,13,5,1,6
s251,16,16,4,16,9,3,1,5
s252,13,13,3,2,9,4,0,6
s253,10,10,8,11,15,4,0,6
s254,10,10,16,8,8,6,1,6
s255,19,19,5,3,18,7,0,7
s256,4,4,14,20,8,6,0,7
s257,9,9,14,20,18,6,0,7
s258,12,12,19,9,8,5,2,5
s259,4,4,1,12,3,4,0,6
s260,19,19,23,8,4,5,2,4
s261,15,15,7,15,13,7,1,6
s262,13,13,9,3,4,6,0,10
s263,2,2,6,20,9,3,2,5
s264,9,9,1,17,18,5,0,6
s265,7,7,11,8,11,7,3,2
s266,5,5,16,15,2,5,1,7
s267,5,5,17,5,1,4,0,6
s268,21,21,8,6,17,4,0,6
s269,9,9,6,5,5,5,1,6
s270,3,3,6,5,11,4,0,6
s271,2,2,6,13,6,3,0,5
s272,6,6,12,1,13,4,0,8
s273,11,11,2,5,1,4,0,6
s274,22,22,30,22,30,8,1,11
s275,13,13,7,6,7,2,0,8
s276,8,8,20,15,1,4,0,7
s277,5,5,15,15,4,8,0,7
s278,30,30,34,12,25,14,0,7
s279,28,28,19,3,1,7,0,7
s280,11,11,11,14,7,5,0,6
s281,7,7,23,9,11,2,2,6
s282,2,2,2,23,22,6,0,7
s283,4,4,10,15,5,6,0,8
s284,2,2,4,11,13,6,1,6
s285,20,20,15,7,10,6,0,7
s286,6,6,3,9,10,3,0,5
s287,6,6,13,12,6,4,0,6
s288,8,8,7,18,17,5,3,4
s289,5,5,6,2,22,6,1,7
s290,10,10,11,8,6,4,0,7
s291,19,19,6,15,15,4,0,7
s292,12,12,10,1,11,4,2,3
s293,13,13,8,7,10,4,0,6
s294,14,14,5,9,14,2,0,6
s295,6,6,7,22,8,8,0,5
s296,14,14,17,8,19,4,0,6
s297,17,17,12,1,5,4,0,7
s298,3,3,1,17,16,5,0,7
s299,11,11,10,2,2,4,0,6
s300,5,5,5,1,10,4,0,6
s301,3,3,15,19,19,7,0,6
s302,7,7,13,13,5,4,1,5
s303,1,1,10,3,6,4,1,1
s304,5,5,3,4,7,6,0,7
s305,7,7,8,4,5,4,2,4
s306,22,22,8,7,26,6,0,7
s307,4,4,4,2,4,3,0,5
s308,17,17,13,17,5,7,0,7
s309,8,8,1,12,14,5,0,6
s310,11,11,3,6,10,2,0,6
s311,8,8,1,9,4,5,1,6
s312,10,10,8,9,7,4,2,3
s313,3,3,13,13,2,3,0,5
s314,15,15,8,6,10,4,0,8
s315,6,6,5,7,3,2,0,6
s316,13,13,11,16,17,4,0,6
s317,6,6,8,2,10,4,0,7
s318,9,9,17,16,15,5,0,7
s319,20,20,18,25,13,5,0,7
s320,2,2,11,12,27,6,0,10
s321,1,1,5,4,3,2,0,6
s322,14,14,6,15,15,4,0,7
s323,20,20,5,19,11,4,0,7
s324,7,7,9,4,1,3,0,5
s325,2,2,13,11,20,7,0,7
s326,1,1,26,7,28,5,0,7
s327,19,19,7,10,4,7,3,5
s328,15,15,5,1,5,5,0,6
s329,6,6,4,12,11,5,0,6
s330,24,24,1,2,7,11,0,8
s331,9,9,13,4,7,4,0,6
s332,9,9,16,12,9,4,0,6
s333,13,13,1,9,8,7,0,7
s334,3,3,23,16,23,5,0,8
s335,3,3,9,6,1,4,0,6
s336,2,2,18,14,4,6,0,6
s337,7,7,15,6,5,6,0,7
s338,25,25,19,18,4,9,0,8
s339,9,9,8,1,13,4,1,6
s340,5,5,12,18,19,4,0,6
s341,15,15,5,15,20,11,0,8
s342,9,9,6,9,5,3,0,5
s343,8,8,12,8,14,8,0,8
s344,13,13,6,11,15,4,0,7
s345,4,4,3,7,14,4,0,6
s346,1,1,7,7,2,4,0,7
s347,12,12,3,2,6,3,1,6
s348,6,6,15,2,7,5,3,6
s349,11,11,6,10,9,4,0,6
s350,22,22,3,9,5,7,0,7
s351,14,14,8,2,13,5,1,6
s352,14,14,10,6,12,5,0,7
s353,8,8,16,19,7,8,0,7
s354,9,9,9,8,15,4,0,6
s355,12,12,4,3,8,7,1,10
s356,11,11,14,1,9,4,0,6
s357,15,15,15,9,15,6,0,7
s358,13,13,9,21,20,6,0,7
s359,2,2,11,6,14,6,1,7
s360,23,23,11,15,13,8,0,7
s361,8,8,11,6,1,2,0,6
s362,10,10,13,4,9,4,0,6
s363,14,14,13,8,13,4,0,6
s364,19,19,8,13,23,4,0,7
s365,1,1,13,3,18,7,0,10
s366,21,21,21,8,7,7,0,7
s367,3,3,3,17,12,5,0,8
s368,3,3,11,4,14,5,0,4
s369,11,11,19,15,7,5,0,7
s370,15,15,4,28,28,6,0,10
s371,7,7,16,1,16,4,0,6
s372,13,13,6,18,12,4,0,6
s373,18,18,14,19,17,4,0,7
s374,2,2,3,5,18,5,1,6
s375,5,5,5,10,13,4,0,7
s376,8,8,3,17,6,4,0,6
s377,5,5,16,14,8,3,2,4
s378,23,23,20,1,4,6,0,10
s379,4,4,19,2,22,8,0,7
s380,9,9,2,1,22,7,0,7
s381,18,18,21,24,7,4,0,7
s382,3,3,1,14,3,7,0,5
s383,1,1,23,13,13,6,0,10
s384,13,13,2,10,13,6,0,9
s385,7,7,13,14,8,6,1,6
s386,6,6,3,3,12,5,1,6
s387,5,5,15,13,8,7,0,7
s388,6,6,10,2,3,3,1,4
s389,1,1,20,29,1,8,1,5
s390,2,2,31,26,4,7,3,2
s391,4,4,3,12,2,4,2,3
s392,5,5,10,4,10,4,0,6
s393,9,9,3,11,8,3,2,4
s394,1,1,6,1,6,4,0,6
s395,13,13,16,14,13,4,0,6
s396,8,8,3,23,3,7,0,7
s397,4,4,9,9,6,4,0,8
s398,12,12,11,4,18,11,1,8
s399,2,2,15,13,10,4,1,6
s400,29,29,32,25,2,7,0,8
s401,14,14,14,2,1,5,2,5
s402,10,10,12,8,35,6,0,10
s403,14,14,16,16,5,4,0,6
s404,11,11,2,6,13,4,0,6
s405,7,7,9,6,17,4,0,8
s406,3,3,14,11,6,5,0,7
s407,6,6,11,1,5,6,0,7
s408,6,6,10,11,7,4,0,6
s409,12,12,11,17,17,5,1,5
s410,11,11,12,16,11,6,1,7
s411,11,11,12,14,4,6,0,8
s412,7,7,17,4,5,4,0,6
s413,8,8,4,16,2,4,0,6
s414,15,15,8,13,12,5,1,4
s415,30,30,18,8,24,5,0,7
s416,16,16,3,16,14,4,0,6
s417,3,3,3,3,8,4,2,3
s418,17,17,30,32,23,6,0,10
s419,8,8,10,12,13,4,0,7
s420,8,8,4,2,14,5,0,6
s421,22,22,18,11,15,4,0,6
s422,2,2,4,6,5,4,0,6
s423,8,8,16,4,2,6,0,8
s424,9,9,5,16,11,4,0,6
s425,24,24,14,14,15,10,3,7
s426,4,4,10,14,11,6,0,7
s427,2,2,10,10,14,7,0,7
s428,18,18,13,14,10,4,0,6
s429,16,16,31,4,7,8,0,7
s430,20,20,8,7,9,8,0,8
s431,30,30,9,31,19,6,0,10
s432,11,11,5,7,12,8,0,8
s433,13,13,12,5,20,7,2,7
s434,1,1,9,10,2,2,0,6
s435,11,11,8,1,12,4,0,6
s436,15,15,2,12,12,3,2,6
s437,15,15,12,32,27,5,3,6
s438,14,14,18,10,18,5,1,6
s439,1,1,11,1,14,3,2,4
s440,8,8,7,13,16,4,0,6
s441,2,2,4,7,9,4,0,4
s442,21,21,11,15,10,3,1,7
s443,8,8,16,24,3,5,0,9
s444,7,7,17,4,15,4,0,6
s445,28,28,16,13,7,9,0,8
s446,5,5,14,15,14,7,0,7
s447,16,16,1,16,2,4,0,6
s448,4,4,5,19,10,7,3,2
s449,7,7,9,8,12,4,0,6
s450,2,2,4,9,10,5,1,4
s451,13,13,12,13,15,2,0,6
s452,13,13,16,13,6,5,0,7
s453,1,1,12,1,15,7,0,7
s454,26,26,4,12,1,12,0,8
s455,6,6,1,11,3,6,0,7
s456,16,16,8,10,7,8,0,8
s457,11,11,14,12,20,6,0,7
s458,5,5,3,4,2,4,0,7
s459,13,13,8,2,15,7,0,7
s460,2,2,1,7,22,7,3,2
s461,12,12,17,21,11,14,0,7
s462,2,2,10,5,11,3,1,5
s463,12,12,8,4,11,4,0,7
s464,1,1,1,9,3,4,0,8
s465,16,16,2,6,3,5,1,5
s466,5,5,13,11,10,5,0,7
s467,20,20,11,5,6,2,0,4
s468,17,17,18,6,18,4,0,6
s469,9,9,15,8,9,4,0,6
s470,11,11,3,5,11,4,2,3
s471,18,18,21,12,26,7,0,7
s472,1,1,7,6,1,3,0,5
s473,8,8,3,3,8,5,3,4
s474,16,16,13,11,19,6,0,10
s475,6,6,1,2,1,5,0,6
s476,2,2,7,9,18,7,0,5
s477,11,11,13,6,6,3,0,7
s478,13,13,12,20,3,6,0,7
s479,15,15,17,16,13,4,2,5
s480,12,12,8,1,11,4,0,6
s481,34,34,21,65,43,8,5,5
s482,19,19,10,18,3,6,0,8
s483,5,5,4,9,4,5,3,2
s484,10,10,6,9,2,7,0,7
s485,13,13,16,15,1,5,0,7
s486,15,15,12,16,2,4,0,6
s487,11,11,13,12,12,4,0,8
s488,4,4,14,4,3,3,0,5
s489,17,17,6,10,19,5,0,7
s490,13,13,16,11,19,6,0,7
s491,6,6,9,20,1,11,0,8
s492,13,13,11,12,1,4,0,7
s493,5,5,14,16,4,4,0,7
s494,8,8,8,11,9,5,1,6
s495,14,14,5,8,16,7,0,7
s496,29,29,10,16,26,7,0,7
s497,12,12,14,2,17,2,0,6
s498,10,10,7,2,8,5,0,7
s499,4,4,16,16,8,5,1,6
s500,8,8,8,10,4,3,0,5
s501,7,7,26,14,26,5,0,7
s502,13,13,8,12,3,4,0,6
s503,12,12,1,11,8,5,2,6
s504,3,3,19,16,4,4,3,4
s505,12,12,12,9,3,2,1,6
s506,16,16,6,16,12,7,2,5
s507,5,5,1,1,2,4,0,6
s508,15,15,12,13,26,7,1,7
s509,19,19,15,5,12,4,0,7
s510,8,8,8,6,13,6,1,6
s511,8,8,9,6,1,6,1,7
s512,2,2,4,11,16,4,0,6
s513,13,13,9,5,17,4,0,8
s514,6,6,12,7,8,6,0,6
s515,12,12,1,17,7,6,0,7
s516,16,16,20,17,2,6,0,7
s517,2,2,16,9,18,5,0,6
s518,3,3,2,9,10,4,0,6
s519,12,12,10,24,3,6,1,7
s520,20,20,11,7,3,4,0,6
s521,2,2,10,18,15,6,0,7
s522,11,11,11,10,6,5,1,6
s523,12,12,7,2,13,4,0,6
s524,6,6,14,21,12,6,0,7
s525,11,11,13,13,8,6,0,10
s526,3,3,13,5,8,4,0,6
s527,6,6,7,8,7,4,0,6
s528,8,8,11,6,5,4,2,3
s529,3,3,16,11,6,5,1,4
s530,6,6,12,12,13,6,1,6
s531,9,9,5,7,12,4,0,7
s532,17,17,17,13,11,4,0,6
s533,12,12,16,15,10,4,0,6
s534,1,1,15,11,17,5,0,7
s535,14,14,2,9,12,4,0,6
s536,10,10,11,13,12,4,0,7
s537,5,5,6,17,21,3,1,4
s538,4,4,8,20,4,11,0,8
s539,10,10,1,7,2,6,1,11
s540,7,7,12,15,19,5,0,7
s541,10,10,9,10,6,4,0,6
s542,17,17,9,7,1,7,0,7
s543,14,14,9,5,9,4,0,6
s544,2,2,5,12,11,7,0,6
s545,12,12,6,7,14,4,0,6
s546,7,7,12,7,9,3,0,5
s547,29,29,14,24,25,8,0,8
s548,14,14,12,14,9,9,0,6
s549,15,15,19,18,1,6,0,7
s550,13,13,11,5,12,4,0,6
s551,12,12,3,13,22,7,0,7
s552,6,6,11,9,9,4,0,6
s553,15,15,4,5,13,8,0,7
s554,3,3,9,16,2,5,0,6
s555,17,17,8,4,9,6,0,7
s556,16,16,14,10,16,2,0,6
s557,2,2,1,17,11,8,0,7
s558,5,5,3,13,1,4,0,6
s559,4,4,2,26,21,6,0,10
s560,13,13,11,6,13,6,0,4
s561,6,6,7,8,15,4,1,6
s562,11,11,3,12,10,5,1,5
s563,5,5,10,27,18,8,2,4
s564,8,8,16,1,17,5,1,6
s565,17,17,14,2,18,5,1,6
s566,23,23,19,3,28,9,0,7
s567,15,15,6,24,19,9,0,9
s568,11,11,4,1,12,6,0,11
s569,16,16,18,20,20,4,0,6
s570,11,11,9,10,9,4,0,9
s571,4,4,15,1,13,6,0,7
s572,7,7,6,6,1,3,0,5
s573,1,1,2,6,3,4,0,6
s574,13,13,1,12,2,4,0,6
s575,4,4,9,12,20,7,0,7
s576,10,10,2,6,9,5,0,8
s577,5,5,15,16,6,4,0,6
s578,2,2,2,16,13,4,0,6
s579,5,5,8,7,7,4,0,7
s580,5,5,5,13,1,3,1,6
s581,10,10,3,6,5,4,0,6
s582,7,7,12,6,9,4,0,6
s583,17,17,7,18,10,6,0,7
s584,14,14,22,7,20,7,0,7
s585,6,6,8,20,5,7,1,14
s586,6,6,8,3,8,6,1,6
s587,12,12,15,15,2,4,0,6
s588,10,10,11,6,5,6,0,9
s589,2,2,13,13,10,5,0,5
s590,27,27,23,28,29,6,0,8
s591,14,14,3,2,7,5,0,7
s592,16,16,4,8,20,8,0,8
s593,9,9,11,8,28,7,0,7
s594,24,24,16,11,16,7,3,2
s595,17,17,3,9,14,4,0,6
s596,4,4,9,32,15,5,1,7
s597,9,9,18,1,19,7,0,10
s598,7,7,14,5,1,4,1,6
s599,3,3,2,17,4,4,0,6
s600,17,17,13,17,2,4,0,6
s601,9,9,10,10,9,4,2,3
s602,5,5,5,7,5,3,1,5
s603,8,8,3,3,4,6,0,6
s604,16,16,10,5,18,5,0,6
s605,10,10,2,9,9,5,1,6
s606,13,13,13,14,8,3,0,7
s607,10,10,8,2,11,5,0,6
s608,9,9,6,6,5,3,0,6
s609,9,9,15,21,3,5,0,7
s610,10,10,17,3,3,4,0,6
s611,9,9,7,5,7,3,0,5
s612,7,7,6,4,13,4,0,7
s613,4,4,11,9,5,4,1,6
s614,12,12,18,11,12,6,0,7
s615,16,16,6,17,8,5,3,3
s616,3,3,11,8,6,4,0,7
s617,14,14,7,13,12,4,0,7
s618,2,2,4,6,11,4,2,3
s619,9,9,12,15,7,4,0,6
s620,12,12,16,21,12,5,2,5
s621,4,4,3,3,4,4,0,6
s622,8,8,1,7,6,5,1,6
s623,5,5,9,19,19,4,0,7
s624,16,16,15,1,7,6,0,8
s625,15,15,11,6,14,2,0,6
s626,30,30,10,34,32,8,0,9
s627,9,9,9,6,10,5,0,7
s628,14,14,1,13,16,6,0,6
s629,10,10,9,13,7,4,0,7
s630,6,6,6,17,23,5,0,7
s631,16,16,29,8,24,6,0,7
s632,6,6,14,18,18,4,0,6
s633,33,33,10,9,40,6,0,9
s634,24,24,6,23,18,4,0,7
s635,14,14,21,27,13,6,0,7
s636,30,30,4,19,5,6,0,10
s637,14,14,7,17,13,7,0,6
s638,26,26,19,6,32,9,0,9
s639,1,1,13,3,4,4,0,6
s640,14,14,11,8,9,4,2,2
s641,16,16,3,15,23,3,2,6
s642,28,28,16,17,28,9,0,9
s643,3,3,16,21,13,4,0,6
s644,20,20,17,20,2,8,0,7
s645,6,6,14,11,2,6,0,7
s646,11,11,6,3,3,4,0,7
s647,6,6,3,12,3,4,0,6
s648,9,9,11,5,7,4,0,6
s649,6,6,15,9,5,3,1,7
s650,1,1,6,13,16,7,1,6
s651,3,3,1,13,4,7,0,7
s652,7,7,11,13,12,4,0,6
s653,12,12,1,14,11,4,0,7
s654,1,1,8,5,4,4,0,6
s655,8,8,10,4,1,4,0,6
s656,11,11,6,1,10,4,2,3
s657,13,13,2,13,16,3,1,5
s658,7,7,16,19,19,7,0,9
s659,7,7,1,11,3,6,0,8
s660,15,15,3,13,24,12,1,11
s661,13,13,2,7,8,5,0,7
s662,15,15,11,9,11,5,0,10
s663,6,6,6,10,10,4,0,6
s664,7,7,6,15,15,4,0,6
s665,2,2,1,9,10,4,0,6
s666,2,2,9,4,2,4,0,6
s667,6,6,19,13,16,7,0,9
s668,1,1,14,6,2,5,3,4
s669,8,8,5,10,6,3,0,5
s670,13,13,17,17,4,4,0,6
s671,4,4,4,1,12,4,0,6
s672,10,10,3,12,6,6,0,7
s673,16,16,20,10,13,5,0,6
s674,3,3,15,17,17,5,1,5
s675,7,7,5,3,8,3,0,5
s676,19,19,24,6,18,4,0,6
s677,16,16,10,4,2,4,0,6
s678,2,2,9,13,6,5,0,7
s679,1,1,7,5,14,5,0,6
s680,11,11,22,14,13,6,0,7
s681,15,15,15,18,23,5,2,6
s682,7,7,13,17,7,5,1,6
s683,9,9,1,8,4,4,0,6
s684,20,20,7,8,28,7,1,9
s685,11,11,6,11,8,2,0,6
s686,11,11,1,4,15,4,0,6
s687,8,8,10,8,10,3,0,5
s688,11,11,3,21,20,7,0,7
s689,2,2,5,5,10,5,3,6
s690,18,18,15,7,8,4,0,6
s691,28,28,6,23,22,5,1,6
s692,8,8,13,3,13,5,1,4
s693,7,7,1,14,1,2,2,5
s694,13,13,30,35,32,6,0,7
s695,21,21,1,2,7,4,0,7
s696,2,2,16,12,27,12,0,8
s697,11,11,13,15,2,4,0,6
s698,12,12,12,2,15,4,0,6
s699,15,15,8,7,4,7,1,9
s700,15,15,8,12,12,5,1,6
s701,2,2,11,11,1,3,1,5
s702,19,19,9,1,9,4,0,7
s703,14,14,11,5,4,4,0,6
s704,17,17,8,17,6,6,0,11
s705,17,17,11,12,8,4,0,6
s706,1,1,8,11,11,4,0,6
s707,7,7,7,10,7,5,1,6
s708,12,12,8,11,8,4,0,6
s709,4,4,1,2,6,5,1,6
s710,2,2,13,3,12,8,0,7
s711,10,10,12,3,19,5,0,6
s712,14,14,15,4,20,7,1,7
s713,4,4,8,6,3,5,0,6
s714,17,17,17,1,14,5,0,7
s715,10,10,20,20,8,4,0,6
s716,5,5,22,23,3,6,0,10
s717,11,11,14,13,10,4,0,6
s718,9,9,3,10,1,3,1,5
s719,12,12,12,12,15,4,0,4
s720,17,17,11,19,7,4,0,6
s721,8,8,8,9,2,4,0,7
s722,1,1,11,9,11,4,0,6
s723,8,8,11,4,8,4,0,5
s724,10,10,11,6,10,5,1,6
s725,11,11,1,8,9,4,0,5
s726,11,11,11,3,9,4,0,6
s727,15,15,2,1,13,5,0,6
s728,8,8,5,3,2,3,0,6
s729,7,7,3,7,10,5,0,6
s730,1,1,13,1,9,6,0,7
s731,6,6,2,3,6,5,4,2
s732,11,11,7,8,15,4,0,6
s733,14,14,1,16,1,10,0,10
